Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-04-02T07:30:00,6,599,1%,19.5
2026-04-02T08:30:00,4,618,0.65%,19.9
2026-04-02T09:30:00,2,583,0.34%,20.7
2026-04-02T10:30:00,3,553,0.54%,21.3
2026-04-02T11:30:00,10,725,1.38%,22.9
2026-04-02T12:30:00,4,584,0.68%,16.8
2026-04-02T13:30:00,4,611,0.65%,20.1
2026-04-02T14:30:00,3,569,0.53%,21.3
2026-04-02T15:30:00,6,612,0.98%,20.4
2026-04-02T16:30:00,2,643,0.31%,19.5
2026-04-02T17:30:00,2,719,0.28%,19.8
2026-04-02T18:30:00,3,671,0.45%,19.9
2026-04-02T19:30:00,3,689,0.44%,17.4
2026-04-02T20:30:00,2,562,0.36%,17.4
2026-04-02T21:30:00,0,427,0%,19.4
2026-04-02T22:30:00,1,609,0.16%,14.7
2026-04-02T23:30:00,3,626,0.48%,14.2
2026-04-03T00:30:00,8,514,1.56%,13
2026-04-03T01:30:00,8,553,1.45%,15
2026-04-03T02:30:00,4,513,0.78%,13.6
2026-04-03T03:30:00,2,437,0.46%,15.2
2026-04-03T04:30:00,3,307,0.98%,16.3
2026-04-03T05:30:00,1,69,1.45%,25.8
2026-04-03T06:30:00,0,0,0%,0
