Country,Clicks,Impressions,CTR,Position
United States,17,3809,0.45%,14.58
India,13,437,2.97%,14.15
Spain,7,1458,0.48%,19.66
Italy,6,956,0.63%,18.04
United Kingdom,6,956,0.63%,22.77
Canada,3,241,1.24%,13.91
Peru,3,117,2.56%,9.82
Turkey,3,67,4.48%,27.6
Poland,3,65,4.62%,18.25
Pakistan,3,52,5.77%,14.15
France,2,153,1.31%,21.78
Russia,2,80,2.5%,24.7
Mexico,1,507,0.2%,13.73
Australia,1,227,0.44%,14.87
Chile,1,191,0.52%,12.19
Bolivia,1,59,1.69%,11.19
Dominican Republic,1,46,2.17%,7.76
Costa Rica,1,34,2.94%,9.44
Ireland,1,33,3.03%,12.58
Bulgaria,1,30,3.33%,18.43
Taiwan,1,26,3.85%,21.81
Denmark,1,25,4%,9.24
Switzerland,1,20,5%,26.3
Czechia,1,18,5.56%,20.39
Belarus,1,14,7.14%,10.14
Puerto Rico,1,12,8.33%,9.92
Croatia,1,12,8.33%,10.08
Monaco,1,1,100%,5
Vietnam,0,426,0%,70.9
Argentina,0,219,0%,10.45
Brazil,0,208,0%,29.77
Colombia,0,197,0%,9.97
Sweden,0,180,0%,29.36
Ecuador,0,164,0%,8.77
Germany,0,161,0%,15.89
Philippines,0,108,0%,12.47
Venezuela,0,89,0%,10.42
Netherlands,0,73,0%,21.04
Indonesia,0,65,0%,14
Japan,0,60,0%,13.22
South Africa,0,58,0%,16.28
Malaysia,0,56,0%,11.38
Ukraine,0,46,0%,19.74
New Zealand,0,43,0%,15
South Korea,0,42,0%,25.36
China,0,33,0%,8.18
Thailand,0,32,0%,16.59
El Salvador,0,28,0%,6.32
Panama,0,28,0%,6.54
Egypt,0,28,0%,18.61
Saudi Arabia,0,28,0%,27.71
Guatemala,0,27,0%,7.15
Romania,0,27,0%,16.7
Bangladesh,0,26,0%,15.92
Singapore,0,26,0%,18.85
Belgium,0,24,0%,16.88
United Arab Emirates,0,24,0%,20.71
Hong Kong,0,23,0%,12.83
Norway,0,23,0%,19.91
Honduras,0,22,0%,6.27
Finland,0,22,0%,9.5
Hungary,0,22,0%,21.64
Paraguay,0,21,0%,13.48
Morocco,0,21,0%,19.14
Austria,0,20,0%,21.1
Uruguay,0,18,0%,6.83
Portugal,0,18,0%,10.11
Greece,0,18,0%,11.44
Cuba,0,17,0%,6.88
Serbia,0,17,0%,18.41
Uzbekistan,0,16,0%,31.38
Israel,0,15,0%,40.67
Nigeria,0,13,0%,6.85
Lithuania,0,13,0%,16.85
Bosnia & Herzegovina,0,12,0%,15.25
Algeria,0,12,0%,25.58
Kenya,0,11,0%,17.36
Ethiopia,0,11,0%,28.73
Kosovo,0,10,0%,22.3
Slovakia,0,10,0%,27.9
Nicaragua,0,8,0%,3.25
Estonia,0,7,0%,5.14
Sri Lanka,0,7,0%,5.43
Barbados,0,7,0%,6.43
Slovenia,0,7,0%,10.57
Bahrain,0,7,0%,12
Latvia,0,7,0%,16.71
Mongolia,0,7,0%,36
Åland Islands,0,6,0%,2.83
Nepal,0,6,0%,12.5
Azerbaijan,0,6,0%,29.5
Iran,0,5,0%,5.4
Iraq,0,5,0%,6.8
Albania,0,5,0%,8
San Marino,0,5,0%,8
Kazakhstan,0,5,0%,11.4
Mozambique,0,5,0%,15.6
Senegal,0,5,0%,20.8
Tunisia,0,5,0%,23.4
Qatar,0,5,0%,41.8
Luxembourg,0,4,0%,6
Cambodia,0,4,0%,7.5
Montenegro,0,4,0%,8
Zimbabwe,0,4,0%,8.25
Zambia,0,4,0%,8.75
Angola,0,4,0%,9.5
Moldova,0,4,0%,13.25
Jordan,0,4,0%,15
Ghana,0,4,0%,24.75
Armenia,0,4,0%,35.75
Congo - Kinshasa,0,3,0%,3
Botswana,0,3,0%,7
Syria,0,3,0%,8.67
American Samoa,0,3,0%,14.67
Côte d’Ivoire,0,3,0%,15.33
Myanmar (Burma),0,3,0%,23.67
Cameroon,0,3,0%,28
Georgia,0,3,0%,32.33
Andorra,0,2,0%,1
Namibia,0,2,0%,3
Palestine,0,2,0%,6.5
Tanzania,0,2,0%,7.5
Faroe Islands,0,2,0%,9
Uganda,0,2,0%,9.5
Macau,0,2,0%,10
Iceland,0,2,0%,14
Brunei,0,2,0%,20.5
Benin,0,2,0%,24.5
Rwanda,0,2,0%,42.5
Réunion,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Aruba,0,1,0%,2
Jamaica,0,1,0%,2
South Sudan,0,1,0%,2
St. Vincent & Grenadines,0,1,0%,2
Suriname,0,1,0%,4
Unknown Region,0,1,0%,4
Niger,0,1,0%,5
Oman,0,1,0%,6
Maldives,0,1,0%,7
Macedonia,0,1,0%,7
Malta,0,1,0%,7
Grenada,0,1,0%,9
Haiti,0,1,0%,9
Vanuatu,0,1,0%,10
Kuwait,0,1,0%,11
Laos,0,1,0%,11
US Virgin Islands,0,1,0%,13
Guam,0,1,0%,14
Malawi,0,1,0%,14
Lebanon,0,1,0%,18
Mauritania,0,1,0%,23
Togo,0,1,0%,39
Curaçao,0,1,0%,45
Guyana,0,1,0%,48
Yemen,0,1,0%,49
Western Sahara,0,1,0%,61
Madagascar,0,1,0%,92
Gabon,0,1,0%,94
